
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '5.055322', 'CMB': 'N', 'VNODE': '46', 'MSG': 'DATA', 'RNODE': '54', 'DATE': '2017-Jan-03', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '11:03:15 PM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '58.36809', 'ALT': '635', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '1.837461', 'CMB': 'N', 'VNODE': '89', 'MSG': 'DATA', 'RNODE': '11', 'DATE': '2017-Jan-03', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '11:03:26 PM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '57.55401', 'ALT': '109', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '76.63375', 'CMB': 'N', 'VNODE': '41', 'MSG': 'DATA', 'RNODE': '59', 'DATE': '2017-Jan-03', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '11:03:29 PM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '9.272060', 'ALT': '993', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '14.54250', 'CMB': 'N', 'VNODE': '46', 'MSG': 'DATA', 'RNODE': '54', 'DATE': '2017-Jan-03', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '11:03:31 PM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '31.21825', 'ALT': '18.', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '104.3523', 'CMB': 'N', 'VNODE': '98', 'MSG': 'DATA', 'RNODE': '2', 'DATE': '2017-Jan-03', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '11:03:34 PM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '25.03396', 'ALT': '920', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '56.14042', 'CMB': 'N', 'VNODE': '79', 'MSG': 'DATA', 'RNODE': '21', 'DATE': '2017-Jan-03', 'BCLR': '2', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '11:03:41 PM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '43.92227', 'ALT': '45.', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '43.91269', 'CMB': 'N', 'VNODE': '48', 'MSG': 'DATA', 'RNODE': '52', 'DATE': '2017-Jan-03', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '11:03:51 PM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '29.27925', 'ALT': '996', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '25.26607', 'CMB': 'N', 'VNODE': '45', 'MSG': 'DATA', 'RNODE': '55', 'DATE': '2017-Jan-03', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '11:04:01 PM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '33.47036', 'ALT': '95.', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '28.', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '120.5700', 'CMB': 'M', 'VNODE': '21', 'MSG': 'DATA', 'RNODE': '79', 'DATE': '2017-Jan-03', 'BCLR': 'N', 'HUM': '78.', 'FCLR': '0', 'RCLR': 'N', 'SPD': '0.6', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '11:04:08 PM', 'BEAR': '101', 'VOL': 'E', 'LMO': 'N', 'LAT': '9.589925', 'ALT': '180', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'M', 'CTRL': 'A', 'BATL': '50', 'LON': '11.24793', 'CMB': 'H', 'VNODE': '78', 'MSG': 'DATA', 'RNODE': '22', 'DATE': '2017-Jan-03', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '11:04:11 PM', 'BEAR': '00', 'VOL': 'M', 'LMO': 'N', 'LAT': '88.57964', 'ALT': '640', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'M', 'CTRL': 'A', 'BATL': '50', 'LON': '134.3932', 'CMB': 'N', 'VNODE': '26', 'MSG': 'DATA', 'RNODE': '74', 'DATE': '2017-Jan-03', 'BCLR': 'N', 'HUM': '61.', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '11:04:16 PM', 'BEAR': '00', 'VOL': 'F', 'LMO': 'N', 'LAT': '66.54952', 'ALT': '169', 'INDI': 'N', 'LCLR': 'N'}
